year,city,country,avg_temp,global_avg_temp
1750,Columbus,United States,14.62,8.72
1751,Columbus,United States,15.36,7.98
1752,Columbus,United States,8.30,5.78
1753,Columbus,United States,14.00,8.39
1754,Columbus,United States,14.11,8.47
1755,Columbus,United States,11.66,8.36
1756,Columbus,United States,14.24,8.85
1757,Columbus,United States,13.62,9.02
1758,Columbus,United States,12.55,6.74
1759,Columbus,United States,13.55,7.99
1760,Columbus,United States,12.10,7.19
1761,Columbus,United States,14.52,8.77
1762,Columbus,United States,14.00,8.61
1763,Columbus,United States,11.94,7.50
1764,Columbus,United States,13.96,8.40
1765,Columbus,United States,13.58,8.25
1766,Columbus,United States,14.45,8.41
1767,Columbus,United States,13.22,8.22
1768,Columbus,United States,12.86,6.78
1769,Columbus,United States,13.73,7.69
1770,Columbus,United States,13.59,7.69
1771,Columbus,United States,14.48,7.85
1772,Columbus,United States,14.23,8.19
1773,Columbus,United States,14.37,8.22
1774,Columbus,United States,13.93,8.77
1775,Columbus,United States,14.86,9.18
1776,Columbus,United States,13.64,8.30
1777,Columbus,United States,13.56,8.26
1778,Columbus,United States,11.19,8.54
1779,Columbus,United States,6.06,8.98
1780,Columbus,United States,,9.43
1781,Columbus,United States,14.13,8.10
1782,Columbus,United States,13.65,7.90
1783,Columbus,United States,13.40,7.68
1784,Columbus,United States,13.35,7.86
1785,Columbus,United States,13.16,7.36
1786,Columbus,United States,13.70,8.26
1787,Columbus,United States,13.73,8.03
1788,Columbus,United States,14.24,8.45
1789,Columbus,United States,13.98,8.33
1790,Columbus,United States,13.89,7.98
1791,Columbus,United States,14.08,8.23
1792,Columbus,United States,13.57,8.09
1793,Columbus,United States,14.15,8.23
1794,Columbus,United States,14.25,8.53
1795,Columbus,United States,13.97,8.35
1796,Columbus,United States,13.78,8.27
1797,Columbus,United States,13.70,8.51
1798,Columbus,United States,14.45,8.67
1799,Columbus,United States,14.12,8.51
1800,Columbus,United States,14.02,8.48
1801,Columbus,United States,14.38,8.59
1802,Columbus,United States,14.59,8.58
1803,Columbus,United States,14.45,8.50
1804,Columbus,United States,14.39,8.84
1805,Columbus,United States,14.59,8.56
1806,Columbus,United States,14.06,8.43
1807,Columbus,United States,13.84,8.28
1808,Columbus,United States,13.81,7.63
1809,Columbus,United States,13.01,7.08
1810,Columbus,United States,13.18,6.92
1811,Columbus,United States,13.33,6.86
1812,Columbus,United States,12.44,7.05
1813,Columbus,United States,13.52,7.74
1814,Columbus,United States,13.31,7.59
1815,Columbus,United States,12.88,7.24
1816,Columbus,United States,12.43,6.94
1817,Columbus,United States,12.53,6.98
1818,Columbus,United States,13.19,7.83
1819,Columbus,United States,13.24,7.37
1820,Columbus,United States,13.25,7.62
1821,Columbus,United States,13.08,8.09
1822,Columbus,United States,14.14,8.19
1823,Columbus,United States,13.50,7.72
1824,Columbus,United States,14.03,8.55
1825,Columbus,United States,14.66,8.39
1826,Columbus,United States,14.35,8.36
1827,Columbus,United States,14.74,8.81
1828,Columbus,United States,15.57,8.17
1829,Columbus,United States,13.97,7.94
1830,Columbus,United States,15.23,8.52
1831,Columbus,United States,13.27,7.64
1832,Columbus,United States,14.28,7.45
1833,Columbus,United States,14.39,8.01
1834,Columbus,United States,14.88,8.15
1835,Columbus,United States,13.81,7.39
1836,Columbus,United States,13.20,7.70
1837,Columbus,United States,13.97,7.38
1838,Columbus,United States,13.36,7.51
1839,Columbus,United States,14.24,7.63
1840,Columbus,United States,14.43,7.80
1841,Columbus,United States,14.00,7.69
1842,Columbus,United States,14.41,8.02
1843,Columbus,United States,13.33,8.17
1844,Columbus,United States,14.48,7.65
1845,Columbus,United States,14.29,7.85
1846,Columbus,United States,14.72,8.55
1847,Columbus,United States,13.70,8.09
1848,Columbus,United States,14.15,7.98
1849,Columbus,United States,14.02,7.98
1850,Columbus,United States,14.21,7.90
1851,Columbus,United States,14.14,8.18
1852,Columbus,United States,14.19,8.10
1853,Columbus,United States,14.28,8.04
1854,Columbus,United States,14.96,8.21
1855,Columbus,United States,14.10,8.11
1856,Columbus,United States,12.84,8.00
1857,Columbus,United States,12.88,7.76
1858,Columbus,United States,14.22,8.10
1859,Columbus,United States,13.93,8.25
1860,Columbus,United States,14.11,7.96
1861,Columbus,United States,13.93,7.85
1862,Columbus,United States,14.06,7.56
1863,Columbus,United States,13.57,8.11
1864,Columbus,United States,13.24,7.98
1865,Columbus,United States,14.04,8.18
1866,Columbus,United States,13.37,8.29
1867,Columbus,United States,13.68,8.44
1868,Columbus,United States,13.07,8.25
1869,Columbus,United States,13.20,8.43
1870,Columbus,United States,13.91,8.20
1871,Columbus,United States,14.34,8.12
1872,Columbus,United States,12.89,8.19
1873,Columbus,United States,13.26,8.35
1874,Columbus,United States,14.45,8.43
1875,Columbus,United States,13.05,7.86
1876,Columbus,United States,13.56,8.08
1877,Columbus,United States,14.10,8.54
1878,Columbus,United States,14.37,8.83
1879,Columbus,United States,14.22,8.17
1880,Columbus,United States,14.40,8.12
1881,Columbus,United States,14.54,8.27
1882,Columbus,United States,14.23,8.13
1883,Columbus,United States,13.90,7.98
1884,Columbus,United States,13.68,7.77
1885,Columbus,United States,12.43,7.92
1886,Columbus,United States,12.91,7.95
1887,Columbus,United States,13.88,7.91
1888,Columbus,United States,13.46,8.09
1889,Columbus,United States,13.71,8.32
1890,Columbus,United States,14.58,7.97
1891,Columbus,United States,13.73,8.02
1892,Columbus,United States,13.22,8.07
1893,Columbus,United States,13.50,8.06
1894,Columbus,United States,14.25,8.16
1895,Columbus,United States,13.14,8.15
1896,Columbus,United States,14.36,8.21
1897,Columbus,United States,14.25,8.29
1898,Columbus,United States,14.09,8.18
1899,Columbus,United States,13.96,8.40
1900,Columbus,United States,14.27,8.50
